Source,Teff,Lum-Flame,SpType,Pstar,PWD,GMAG
1306361548360576,18148.611,298.48514,O      ,4.993e-05,0.9999484000000001,0.3894
23700286669971584,17500.236,292.6721,O      ,4.993e-05,0.999948,0.3548
27109837867995776,19761.363,506.7328,O      ,4.993e-05,0.9999495999999999,0.0162
36876009385300352,18453.346,311.50284,O      ,4.993e-05,0.9999495999999999,0.3626
63139734399542528,16191.752,5.2254796,O      ,4.993e-05,0.9999495999999999,0.5446
90329037750913792,18638.85,0.7902685,O      ,4.993e-05,0.9999495999999999,0.2623
91271014273084800,16990.42,0.42687005,O      ,4.993e-05,0.9999495999999999,0.7018
102803104542235008,17934.52,320.73663,O      ,4.993e-05,0.99994946,0.2799
135273057300815360,17396.879,6.608088,O      ,4.993e-05,0.9999495999999999,0.5679
135330816020881536,18037.723,9.813557000000001,O      ,4.993e-05,0.9999495999999999,0.0766
163565999746075264,19362.336,42.526657,O      ,5.145e-05,0.99832255,0.0027
177812440625769856,15003.028,1953.4441,O      ,1.0,0.0,-2.5239
182366922728529408,15008.696000000002,617.2262,O      ,1.0,0.0,-0.9248
231676037804846464,17818.912,36.830708,O      ,4.993e-05,0.9999495999999999,0.3081
247481964131409792,15017.482,309.00687,O      ,1.0,0.0,-0.2576
250179856426924032,15005.088,1460.7936,O      ,1.0,0.0,-1.9331
250783213433288832,15008.448999999999,344.86035,O      ,1.0,0.0,-0.2615
251279642932200320,15007.18,352.65237,O      ,1.0,0.0,-0.442
251777171944381568,15006.719,1343.3368,O      ,1.0,0.0,-2.3131
252002571828463360,15006.472,796.7006,O      ,1.0,0.0,-1.1146
255331338981395328,17108.371,,O      ,5.7600000000000004e-05,0.99170285,-3.4745
266149983644344832,15412.392,99.61184,O      ,4.993e-05,0.99994946,1.1204
270658294855478656,15014.003,364.34467,O      ,1.0,0.0,-0.4888
271497840698483840,15009.19,174.89247,O      ,1.0,0.0,0.3486
297548599758591104,15906.541000000001,123.20625,O      ,4.993e-05,0.99994826,0.9801
303266717352941568,22509.06,,O      ,4.993e-05,0.99994934,-0.5998
303269156894352640,15826.685,119.47984,O      ,4.972e-05,0.99576324,0.9986
303388247747330432,19992.06,816.9372,O      ,4.993e-05,0.9999495999999999,-0.5649
307987333088112640,19972.205,2331.6077,O      ,4.993e-05,0.9999495999999999,-1.7517
311678634140805248,19007.205,379.88457999999997,O      ,4.993e-05,0.9999492,0.2244
313700498585403776,19980.21,660.3688400000001,O      ,4.993e-05,0.9999495999999999,-0.1901
324100121943178240,15742.75,117.73674,O      ,4.993e-05,0.9999493,1.0088
327657080713628288,16901.373,230.02895,O      ,4.993e-05,0.9999495999999999,0.5033
339061352757048576,29576.111,,O      ,4.993e-05,0.9999495999999999,-3.4485
346721341030064640,18910.225,15.265382999999998,O      ,4.993e-05,0.9999495999999999,0.0609
348462417692887936,22466.94,,O      ,4.993e-05,0.9999495999999999,-0.5901
375780849235722624,15003.242,1.1364278,O      ,4.993e-05,0.9999399999999999,1.2258
380123129891300608,15401.649,101.17103,O      ,4.993e-05,0.9999488999999999,1.1188
381119081269183232,15867.816,,O      ,4.984e-05,0.99817955,0.9918
381153681523521024,16211.105,,O      ,4.993e-05,0.9998136999999999,0.9049
381370731998505472,15530.688,159.81531999999999,O      ,4.993e-05,0.9999493,0.7083
387440895170344832,17294.078,268.55762000000004,O      ,4.993e-05,0.9999495999999999,0.4176
404204083809859584,15050.363000000001,85.889175,O      ,4.993e-05,0.9999495999999999,1.1952
407322745461965056,17669.445,11.947054,O      ,4.993e-05,0.9999495999999999,0.5268
426671607498835840,15065.523000000001,472.32477,O      ,1.0,0.0,-0.7255
430299720991276672,15009.042,428.30707,O      ,1.0,0.0,-0.6729
430356929957388672,22048.498,,O      ,5.604e-05,0.99337476,-4.6233
430977741701404800,15012.059,819.91296,O      ,1.0,0.0,-1.3058
431119166390095232,15008.399,757.23834,O      ,1.0,0.0,-1.2053
431415587856521984,15008.448999999999,704.7178299999999,O      ,1.0,0.0,-1.0904
431569519486156032,22891.234,,O      ,5.45e-05,0.9950353000000001,-4.8031
442172591139258624,15008.086000000001,1235.0338,O      ,1.0,0.0,-1.7499
442463652483514752,15005.005,1615.1224,O      ,1.0,0.0,-2.0212
444483111746250240,15003.457,1207.143,O      ,1.0,0.0,-2.1261
444670818999531136,15122.035,480.20074000000005,O      ,1.0,0.0,-0.5343
445390174478530176,15012.883,3481.8604,O      ,1.0,0.0,-2.2488
445626741278035456,15006.982,778.3816,O      ,1.0,0.0,-1.3364
445673779759362944,15007.971000000001,728.9425,O      ,1.0,0.0,-1.1514
446896196171932544,15003.721000000001,155.60866000000001,O      ,1.0,0.0,0.5182
447764879077126784,15007.839,340.44766,O      ,1.0,0.0,-0.4137
