Temperature(K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
0.029662909539949038,0.1473285923808218,0.17,16.12,0,Red,M
0.02897979559128768,0.07938135226520737,0.1542,16.6,0,Red,M
0.01736685846404456,0.05725408011473909,0.102,18.7,0,Red,M
0.022621581146055024,0.039690676132603686,0.16,16.65,0,Red,M
0.0,0.023617427882529796,0.103,20.06,0,Red,M
0.02367252568245711,0.09074610221574836,0.11,16.98,0,Red,M
0.018338982160216503,0.09577396378516334,0.127,17.22,0,Red,M
0.01736685846404456,0.06971551355463124,0.096,17.4,0,Red,M
0.018680539134547182,0.09333294143716109,0.11,17.45,0,Red,M
0.01999421980504979,0.035126807964270756,0.13,16.05,0,Red,M
0.043640471874096844,0.1555259282885812,0.51,10.69,1,Red,M
0.03126559995796222,0.21776010048567804,0.3761,11.79,1,Red,M
0.03139696802501248,0.06971551355463124,0.196,13.21,1,Red,M
0.04437613304957832,0.18325022418741393,0.393,10.48,1,Red,M
0.018680539134547182,0.08727891753676664,0.14,11.782,1,Red,M
0.03680933238748326,0.1672340091043052,0.24,13.07,1,Red,M
0.022595307532644972,0.13486715894092965,0.16,14.79,1,Red,M
0.04605764430782166,0.16572618112034695,0.47,10.8,1,Red,M
0.03292083760279552,0.16513197860588028,0.1967,13.53,1,Red,M
0.03946296734189853,0.2680995320185978,0.351,11.18,1,Red,M
0.6058957988492157,0.28377107707402616,0.0084,10.58,2,Blue White,B
0.1524132313917133,0.07850623797533418,0.01234,14.02,2,White,A
0.13875095241848615,0.03265089501103763,0.011,14.23,2,White,F
0.17238117758335306,0.07938135226520737,0.01,14.5,2,White,A
0.3825700848637713,0.2205112906144348,0.014,11.89,2,Blue White,B
0.29034970179448777,0.0026260575890100224,0.00984,12.23,2,Yellowish White,F
0.1742203305220567,0.10027845335056912,0.0097,14.2,2,Blue white,A
0.15136228685531122,0.013794359656123745,0.0128,14.47,2,Yellowish White,F
0.25882136570242503,0.027229242692711486,0.011,12.59,2,Yellowish White,F
0.13901368855258667,0.0,0.013,14.08,2,Pale yellow orange,F
0.9737263865899478,0.9382116190725267,10.6,-4.7,3,Blue,O
0.7372638658994772,0.8534687348096119,6.3,-4.2,3,Blue-white,B
0.3504111820498673,0.7133717497550324,7.2,-1.97,3,Blue-white,B
0.2039095136754158,0.5950650703998828,2.89,0.16,3,Whitish,B
0.1014424213762119,0.39949950628054576,0.9,5.05,3,yellow-white,F
0.16061059877564965,0.5023352226227208,1.8,2.42,3,Whitish,A
0.1265862694096319,0.42412051351330027,1.12,2.41,3,yellow-white,F
0.11668111715404222,0.4216267784310141,0.98,2.93,3,yellow-white,F
0.105015632799979,0.4218508031552257,1.106,4.46,3,yellow-white,F
0.09584614171987074,0.39997814854346925,0.99,5.03,3,yellow-white,F
0.049578308504768666,0.9373538349225334,19.0,-6.93,4,Red,M
0.037466172722734566,0.9603388912229951,23.0,-6.2,4,Red,M
0.034970179448779594,0.9248924014826414,88.0,-6.02,4,Red,M
0.03313102651007594,0.9362571514331823,17.0,-7.22,4,Red,M
0.028086492735345893,0.9519286964886107,25.0,-6.0,4,Red,M
0.043640471874096844,0.9577128336339851,29.0,-6.6,4,Red,M
0.04298363153884554,0.9162961648700672,45.0,-6.78,4,Red,M
0.04295735792543549,0.9373538349225334,89.0,-5.24,4,Red,M
0.04429731220934816,0.9337420201123519,84.0,-6.74,4,Red,M
0.8357899161871732,0.9414823558680812,26.0,-6.1,4,Blue,B
0.0407503743989911,0.9503533707363361,1520.0,-9.4,5,Red,M
0.0475815138856047,0.9523903351461924,1260.0,-7.63,5,Red,M
0.04978849741204908,0.950673052512419,1183.0,-9.2,5,Red,M
0.04755524027219465,0.9811730320006848,1648.0,-8.05,5,Orange,M
0.04495415254459947,0.956337585300022,1324.0,-7.79,5,Red,M
0.039699429862589,0.9492155312495398,1349.0,-11.75,5,Red,M
0.04521688867869999,0.9631742807957644,1673.0,-11.92,5,Red,M
0.039699429862589,0.9313214639513838,1284.0,-11.28,5,Red,M
0.047634061112424804,0.9392605004410963,955.0,-11.24,5,Red,M
0.04193268700244345,0.9362571514331823,1546.0,-11.36,5,Red,M
0.03683560600089331,0.1840307260973673,0.057,16.23,0,Red,M
0.03922650482120806,0.09205882946493071,0.19,16.94,0,Red,M
0.027429652400094588,0.047588241404162956,0.094,16.09,0,Red,M
0.02354115761540685,0.06267573243306518,0.0918,16.96,0,Red,M
0.026168518956412083,0.02424070027665326,0.116,18.89,0,Red,M
0.0356270197840309,0.10853107539736173,0.132,17.13,0,Red,M
0.026431255090512605,0.0600496748440551,0.093,18.34,0,Red,M
0.02306823257402591,0.10853107539736173,0.0911,16.45,0,Red,M
0.021938467197393667,0.06515164538629836,0.118,17.39,0,Red,M
0.02448700769816873,0.09517648280832597,0.12,19.43,0,Red,M
0.03694070045453352,0.24128480621210643,0.273,12.3,1,Red,M
0.04382438716796722,0.2432998990314691,0.38,10.12,1,Red,M
0.03586348230472137,0.20210675954232776,0.18,13.2,1,Red,M
0.03181734583957332,0.2036092228988654,0.35,11.94,1,Red,M
0.042326791203594234,0.16945586453129013,0.291,10.89,1,Red,M
0.0326055542418749,0.10940618968723498,0.35,11.76,1,Red,M
0.02498620635295972,0.16241608340972402,0.24,13.46,1,Red,M
0.036861879614303365,0.12696959366937038,0.307,11.87,1,Red,M
0.01791860434565567,0.08727891753676664,0.098,12.81,1,Red,M
0.032027534746853735,0.12240572550103745,0.161,13.98,1,Red,M
0.13559811880927986,0.05578557731192235,0.012,14.09,2,White-Yellow,F
0.2268726517958015,0.02424070027665326,0.0092,12.02,2,White,F
0.18367883134967555,0.08429037512070842,0.0095,13.78,2,white,A
0.4009616142508079,0.10853107539736173,0.015,12.45,2,Blue White,B
0.31951341267964584,0.09205882946493071,0.0089,12.17,2,Blue White,B
0.20325267334016447,0.07481748409687444,0.0109,13.98,2,Blue White,A
0.26460156065263657,0.09864366748730763,0.0092,12.13,2,Blue White,B
0.2375397388402827,0.09636331551658844,0.0087,11.19,2,Blue White,B
0.30952943958382595,0.035126807964270756,0.00892,12.97,2,white,F
